genus,bodysite,family_score,Phylum,dmi,bootstrap_mean,bootstrap_sd,trimmed
Kingella,Skin,0,Proteobacteria,0.06,0.070802574,0.025340046,yes
Klebsiella,Skin,1,Proteobacteria,0.12,0.101464265,0.014098489,yes
Lachnoanaerobaculum,Skin,1,Firmicutes,0.08,0.048449078,0.012150603,yes
Lactobacillus,Skin,0,Firmicutes,0.12,0.132477335,0.006860533,no
Lancefieldella,Skin,1,Actinobacteria,0.1,0.072690306,0.017554062,yes
Leptotrichia,Skin,0.16,Other,0.07,0.070213484,0.004284669,no
Leuconostoc,Skin,0,Firmicutes,0.06,0.03924572,0.02095321,yes
Lysobacter,Skin,0,Proteobacteria,0.31,0.29179966,0.0210641,yes
Massilia,Skin,1,Proteobacteria,0.02,0.004957316,0.012642479,yes
Mediterraneibacter,Skin,0,Firmicutes,0.14,0.115586425,0.037508211,yes
Megasphaera,Skin,1,Firmicutes,0.07,0.092989124,0.019020435,yes
Methylobacterium,Skin,0.3,Proteobacteria,0.04,0.04064961,0.003825936,yes
Microbacterium,Skin,1,Actinobacteria,0.07,0.071430756,0.009431401,yes
Micrococcus,Skin,1,Actinobacteria,0.08,0.087304821,0.006707744,yes
Mogibacterium,Skin,1,Firmicutes,0.06,0.057925021,0.017179106,yes
Moraxella,Skin,1,Proteobacteria,0.17,0.163597163,0.007109016,no
Mycobacterium,Skin,1,Actinobacteria,0.14,0.144491391,0.012832148,yes
Negativicoccus,Skin,0,Firmicutes,0.19,0.171306839,0.012556049,yes
Neisseria,Skin,0.46,Proteobacteria,0.07,0.064138816,0.004067064,no
Nocardioides,Skin,0,Actinobacteria,0.02,0.022950811,0.006623231,yes
Oribacterium,Skin,0,Firmicutes,0.11,0.105093852,0.009009725,yes
Paracoccus,Skin,1,Proteobacteria,0.09,0.10172854,0.007341907,yes
Parvimonas,Skin,0.74,Firmicutes,0.12,0.105957022,0.0132138,yes
Peptoniphilus,Skin,0.02,Firmicutes,0.17,0.170433681,0.003948336,no
Peptostreptococcus,Skin,1,Firmicutes,0.06,0.080465411,0.009902536,yes
Phocaeicola,Skin,0.58,Bacteroidetes,0.14,0.147514274,0.012993894,yes
Phreatobacter,Skin,0.98,Proteobacteria,0.17,0.270629518,0.084113604,yes
Porphyromonas,Skin,0,Bacteroidetes,0.06,0.05921383,0.003981751,yes
Prevotella,Skin,1,Bacteroidetes,0.05,0.052397431,0.002844181,no
Pseudomonas,Skin,0.84,Proteobacteria,0.02,0.019108447,0.002443474,yes
Roseomonas,Skin,0.5,Proteobacteria,0.14,0.12473332,0.01339471,yes
Rothia,Skin,0.41,Actinobacteria,0.09,0.085721671,0.003561629,no
Rubellimicrobium,Skin,0,Proteobacteria,0.19,0.172407315,0.017223097,yes
Ruminococcus2,Skin,1,Firmicutes,0.16,0.13780203,0.059071992,yes
Schaalia,Skin,0,Actinobacteria,0.08,0.07632227,0.005149667,yes
Selenomonas,Skin,0.39,Firmicutes,0.09,0.075652084,0.012877978,yes
Solobacterium,Skin,1,Firmicutes,0.09,0.070254557,0.012943478,yes
Staphylococcus,Skin,0.47,Firmicutes,0.04,0.043156187,0.00187189,no
Stomatobaculum,Skin,0,Firmicutes,0.09,0.083698911,0.026737657,yes
Streptococcus,Skin,0,Firmicutes,0.06,0.062375214,0.003161169,no
Tannerella,Skin,0,Bacteroidetes,0.18,0.171019582,0.020455198,yes
Treponema,Skin,0,Other,0.16,0.112166004,0.042593692,yes
Unclassified_Actinobacteria,Skin,0,Actinobacteria,0.08,0.067714189,0.00931379,yes
Unclassified_Bacillaceae_1,Skin,0,Firmicutes,0.05,0.050920723,0.006059134,yes
Unclassified_Bacteria,Skin,0.71,Other,0.03,0.031815476,0.003126636,yes
Unclassified_Bacteroidales,Skin,0,Bacteroidetes,0.14,0.130444945,0.008149157,no
Unclassified_Bacteroidetes,Skin,0,Bacteroidetes,0.12,0.126699886,0.010016889,yes
Unclassified_Candidatus_Saccharibacteria,Skin,0.5,Other,0.07,0.071710333,0.004943054,yes
Unclassified_Carnobacteriaceae,Skin,1,Firmicutes,0.05,0.055417997,0.005887413,yes
Unclassified_Chitinophagaceae,Skin,0,Bacteroidetes,0.11,0.100638117,0.010743616,yes
Unclassified_Clostridiales,Skin,0,Firmicutes,0.07,0.060899006,0.016574646,yes
Unclassified_Comamonadaceae,Skin,0.03,Proteobacteria,0.05,0.040808704,0.018558828,yes
Unclassified_Gammaproteobacteria,Skin,0.23,Proteobacteria,0.1,0.070293679,0.023368924,yes
Unclassified_Lachnospiraceae,Skin,0.84,Firmicutes,0.07,0.066182447,0.005180459,yes
Unclassified_Leptotrichiaceae,Skin,1,Other,0.08,0.092461645,0.012987983,yes
Unclassified_Micrococcaceae,Skin,1,Actinobacteria,0.21,0.212077855,0.031226727,yes
Unclassified_Micrococcales,Skin,0,Actinobacteria,0.2,0.188052271,0.018418504,yes
Unclassified_Pasteurellaceae,Skin,0.1,Proteobacteria,0.41,0.424672627,0.019925202,no
Unclassified_Peptostreptococcaceae,Skin,0.93,Firmicutes,0.22,0.223064084,0.02441644,yes
