SampleID	Abiotrophia	Acetobacterium	Acidaminococcus	Acidovorax	Acinetobacter	Actinomyces	Akkermansia	Alistipes	Allisonella	Anaerofilum	Anaerofustis	Anaeroplasma	Anaerorhabdus	Anaerostipes	Anaerotruncus	Anaerovorax	Anoxybacillus	Arcobacter	Atopobium	Bacillus	Bacteroides	Barnesiella	Bifidobacterium	Bilophila	Blautia	Brachybacterium	Brachyspira	Bradyrhizobium	Brevibacillus	Butyricicoccus	Butyricimonas	Butyrivibrio	Campylobacter	Catenibacterium	Cellulosilyticum	Cetobacterium	Chlorophyta	Chryseobacterium	Cloacibacillus	Clostridium IV	Clostridium XI	Clostridium XVIII	Clostridium XlVa	Clostridium XlVb	Clostridium sensu stricto	Collinsella	Comamonas	Coprobacillus	Coprococcus	Coraliomargarita	Coriobacterium	Corynebacterium	Desulfovibrio	Dialister	Dolosigranulum	Dorea	Dysgonomonas	Eggerthella	Eikenella	Elusimicrobium	Enterobacter	Enterococcus	Enterorhabdus	Erysipelotrichaceae_incertae_sedis	Escherichia/Shigella	Eubacterium	Faecalibacterium	Flavobacterium	Flavonifractor	Fusobacterium	Gardnerella	Gemella	Gordonibacter	Granulicatella	Haemophilus	Holdemania	Howardella	Hydrogenoanaerobacterium	Klebsiella	Kytococcus	Lachnospiracea_incertae_sedis	Lactobacillus	Lactococcus	Lactonifactor	Leuconostoc	Megamonas	Megasphaera	Mitsuokella	Mogibacterium	Moraxella	Murdochiella	Neisseria	Odoribacter	Olsenella	Oribacterium	Oscillibacter	Oxalobacter	Parabacteroides	Paraprevotella	Parasporobacterium	Parasutterella	Parvimonas	Pediococcus	Pelospora	Peptococcus	Peptoniphilus	Phascolarctobacterium	Porphyromonas	Prevotella	Propionibacterium	Proteus	Pseudoflavonifractor	Pseudomonas	Pyramidobacter	Ralstonia	Roseburia	Rothia	Ruminococcus	Slackia	Solobacterium	Sporobacter	Staphylococcus	Streptococcus	Streptophyta	Subdoligranulum	Succinatimonas	Sutterella	TM7_genera_incertae_sedis	Turicibacter	Varibaculum	Veillonella	Victivallis	Weissella	Zymophilus	unclassified_Acidaminococcaceae	unclassified_Actinobacteria	unclassified_Actinomycetales	unclassified_Alphaproteobacteria	unclassified_Bacteria	unclassified_Bacteroidales	unclassified_Bacteroidetes	unclassified_Burkholderiales	unclassified_Clostridia	unclassified_Clostridiaceae 1	unclassified_Clostridiales	unclassified_Clostridiales_Incertae Sedis XIII	unclassified_Coriobacteriaceae	unclassified_Deltaproteobacteria	unclassified_Desulfovibrionaceae	unclassified_Enterobacteriaceae	unclassified_Erysipelotrichaceae	unclassified_Firmicutes	unclassified_Flavobacteriales	unclassified_Fusobacteriaceae	unclassified_Lachnospiraceae	unclassified_Micrococcaceae	unclassified_Opitutae	unclassified_Pasteurellaceae	unclassified_Peptococcaceae 1	unclassified_Porphyromonadaceae	unclassified_Prevotellaceae	unclassified_Proteobacteria	unclassified_Rhizobiales	unclassified_Ruminococcaceae	unclassified_Sphingomonadaceae	unclassified_Succinivibrionaceae	unclassified_Sutterellaceae
70-1001-15	0	0	0	0	0	2	42	1970	0	1	0	0	0	0	15	3	0	0	0	0	7190	588	0	0	511	0	0	0	0	15	71	0	0	0	0	0	0	0	0	562	48	3	13	6	5	34	0	0	684	0	0	0	0	0	0	78	0	6	0	0	0	0	0	53	8	1	639	0	14	0	0	0	0	0	0	2	5	0	0	0	2095	0	1	0	0	0	0	0	11	0	0	0	119	0	0	1021	0	361	149	0	59	0	0	0	0	0	0	0	3	0	0	8	0	0	0	57	0	286	10	0	0	78	19	6	0	0	0	1	0	0	0	0	0	0	78	0	0	0	714	33	0	0	1	0	120	16	16	0	0	0	82	10	0	0	700	0	0	0	0	64	0	34	0	2506	0	0	0
70-1001-2011	0	0	23	0	0	0	12	122	6	0	0	0	0	0	0	1	0	0	0	0	2408	0	0	15	69	0	0	0	0	11	0	0	0	0	0	0	0	0	0	1	0	0	307	184	0	15	0	0	0	0	0	0	12	0	0	6	0	0	0	0	0	0	0	0	6	0	331	0	19	9	0	0	0	2	0	0	0	0	0	0	1005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	0	353	361	0	1229	0	0	0	0	0	0	0	12968	0	0	0	0	0	0	105	0	42	6	0	0	1	54	0	0	0	0	0	0	0	10	0	0	0	1	0	0	0	14	0	0	0	0	0	1	0	0	0	3	0	17	0	0	0	644	0	0	0	0	473	0	0	0	272	0	0	0
70-1001-2012	0	0	24	0	0	0	7	65	0	0	0	0	0	0	2	0	0	0	0	0	915	0	0	10	204	0	0	0	0	6	0	0	0	0	0	0	0	0	0	1	1	0	91	27	0	112	0	0	0	0	0	0	10	0	0	12	0	1	0	0	0	0	0	2	0	0	431	0	16	2	0	0	1	0	0	0	0	0	0	0	900	0	3	0	0	0	0	0	0	0	0	0	0	0	0	112	0	167	39	0	359	0	0	0	0	0	0	0	16580	0	0	0	0	0	0	128	0	50	19	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	6	0	2	0	2	0	25	0	0	0	308	0	0	0	0	284	0	0	0	285	0	0	0
70-1001-2013	0	0	529	0	0	1	281	354	11	0	0	0	0	0	3	0	0	0	0	0	3821	0	0	55	313	0	0	0	0	14	0	0	0	0	0	0	0	0	0	1	0	0	226	135	0	395	0	0	0	0	0	0	38	0	0	4	0	3	0	0	0	0	0	1	3	0	130	0	56	58	0	0	4	0	0	0	0	0	0	0	1303	0	1	0	0	0	0	0	0	0	0	0	0	0	0	278	0	1085	16	0	1940	0	0	0	0	0	0	0	8076	0	0	1	0	0	0	162	3	14	41	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	7	0	0	0	3	0	51	1	0	0	248	0	0	0	0	844	0	0	0	707	0	0	0
70-1001-2014	0	0	1420	0	0	3	423	2817	13	0	0	0	0	0	20	3	0	0	0	0	5884	0	0	7	1885	0	0	0	0	46	0	0	0	0	0	0	0	0	0	3	0	0	420	352	0	485	0	0	0	0	0	0	55	0	0	10	0	0	0	0	0	0	0	0	33	0	120	0	29	0	0	0	0	0	0	0	0	0	3	0	1224	0	0	0	0	0	0	0	3	0	0	0	0	0	3	983	0	749	3	0	322	0	0	0	0	0	0	0	638	0	0	10	0	0	0	267	0	104	20	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	52	0	0	0	0	0	16	0	3	0	0	0	39	33	0	0	498	0	0	0	0	104	0	0	0	2068	0	0	0
70-1001-2015	0	0	1621	0	0	0	169	2614	0	0	0	0	0	0	16	0	0	0	0	0	9090	0	3	8	598	0	0	0	0	21	0	0	0	0	0	0	0	0	0	3	0	0	282	124	0	298	0	0	0	0	0	0	66	0	0	11	0	0	0	0	0	0	0	3	13	0	34	0	8	21	0	0	0	0	0	0	0	0	3	0	820	0	0	0	0	0	0	0	0	3	0	0	0	0	0	825	0	777	0	0	1030	0	0	0	0	0	0	0	891	0	0	0	0	0	0	79	0	8	3	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	8	0	0	0	0	0	3	0	5	0	5	0	5	5	0	0	564	0	0	0	0	206	0	0	0	967	0	0	0
70-1001-2021	0	0	25	0	0	0	35	276	1	0	0	0	0	0	1	0	0	0	0	0	1843	0	0	7	42	0	0	0	0	4	49	0	0	0	0	0	0	0	0	1	0	1	64	16	0	11	0	0	17	0	0	0	80	0	0	1	0	0	0	0	0	0	0	0	44	0	2514	0	7	5	0	0	0	1	1	0	0	0	2	0	2640	1	4	0	0	0	10	0	0	0	0	0	0	0	1	173	0	200	21	0	52	0	0	0	0	0	0	0	11552	0	0	0	0	0	0	78	0	32	5	0	0	0	14	0	0	0	333	0	0	0	1	0	0	0	0	0	0	39	65	1	0	0	0	0	11	0	0	0	1	0	7	0	0	0	525	0	0	0	0	63	0	0	0	348	0	0	0
70-1001-2022	0	0	31	0	0	0	79	527	4	0	0	0	0	0	5	1	0	0	0	0	2575	0	0	19	84	0	0	0	0	12	128	0	1	0	0	0	0	0	0	1	0	0	188	18	0	22	0	0	18	0	0	0	123	0	0	8	0	0	0	0	0	0	0	1	61	0	329	0	11	10	0	0	1	1	1	0	0	0	17	0	1367	1	0	0	0	0	6	0	0	0	0	0	0	0	0	244	0	344	29	0	190	0	0	0	0	0	0	0	12098	0	0	1	0	0	0	134	0	25	22	0	0	0	41	0	0	0	898	0	0	0	0	0	0	0	1	0	0	104	77	0	0	0	0	0	17	0	0	0	7	0	31	5	0	0	599	0	0	0	0	134	0	0	0	575	0	0	0
70-1001-2024	0	0	29	0	0	1	1	312	0	2	0	0	0	0	2	0	0	0	0	0	942	0	0	26	44	0	0	0	0	16	47	0	0	0	0	0	0	0	0	1	0	0	56	7	0	15	0	0	6	0	0	0	191	0	0	0	0	0	0	0	26	0	0	1	75	0	471	0	9	1	0	0	0	0	0	0	0	0	9196	0	475	0	0	0	0	0	2	0	0	0	0	0	0	0	0	272	0	115	20	0	72	0	0	0	0	0	0	0	3402	0	0	0	0	0	0	175	5	12	7	0	0	0	12	0	0	0	3676	0	0	0	0	0	0	0	0	0	0	45	95	0	0	0	0	0	11	0	0	0	0	105	12	1	0	0	455	0	0	0	0	216	0	0	0	559	0	0	0
70-1001-2025	0	0	404	0	0	0	362	1249	9	0	0	0	0	0	14	0	0	0	0	0	2466	0	0	71	233	0	0	0	0	9	114	0	0	0	0	0	0	0	0	2	0	0	74	6	0	117	0	0	48	0	0	0	296	0	0	15	0	5	0	0	0	0	0	2	117	0	1222	0	15	0	0	2	0	2	0	0	0	0	9	0	1795	0	2	0	0	0	77	0	0	0	0	0	0	0	0	1077	0	334	45	0	156	0	0	0	0	0	0	0	7891	0	0	3	0	0	0	209	0	63	18	0	0	0	9	0	0	0	349	0	0	0	5	0	2	0	0	0	0	84	171	0	0	0	5	0	18	0	3	0	3	2	24	0	0	0	780	0	0	0	0	247	0	0	0	997	0	0	0
