"","KitID","SampleID","Date","Barcodes","SampleType"
"2480","UBMkid961129438","69-022-08","6/20/16","NA0008948944","Skin"
"2481","UBMkid961819804","69-001","8/4/14","NA0014723356","Skin"
"2482","UBMkid962128186","69-069-6015","8/20/15","NA0008942144","Skin"
"2483","UBMkid962128988","69-114-6026","4/14/16","NA0008898267","Skin"
"2484","UBMkid962129382","69-090-1031","11/10/16","NA0008948917","Skin"
"2485","UBMkid963104797","69-028-2025","12/7/15","NA0008343793","Mouth"
"2486","UBMkid963105534","70-1002-2015","12/1/15","NA0008363606","Mouth"
"2487","UBMkid963129286","70-1005-6031","10/24/16","NA0008949721","Skin"
"2488","UBMkid964128718","69-066-1012","1/6/17","NA0008898430","Skin"
"2489","UBMkid964129050","69-001-7023","3/3/16","NA0011470425","Skin"
"2490","UBMkid964129261","70-1004-15","8/22/16","NA0008949688","Skin"
"2491","UBMkid965104939","70-1008-2015","11/25/14","NA0008352998","Mouth"
"2492","UBMkid965105108","69-107-6022","2/9/16","NA0008353010","Mouth"
"2493","UBMkid965128876","69-109-1021","2/12/16","NA0008898259","Skin"
"2494","UBMkid965819861","69-122-2025","11/22/17","NA0014723355","Skin"
"2495","UBMkid966104644","69-032-1022","12/7/15","NA0008343762","Mouth"
"2496","UBMkid966105042","69-027-2023","10/17/14","NA0008352975","Mouth"
"2497","UBMkid967105636","70-1002-10","4/8/15","NA0008363596","Mouth"
"2498","UBMkid967128219","69-073-04","8/19/15","NA0008899169","Skin"
"2499","UBMkid968127830","70-1004-1014","11/13/13","NA0008948369","Skin"
"2500","UBMkid969127819","69-032-1054","8/31/17","NA0008948230","Skin"
"2501","UBMkid969127937","70-1008-1016","2/5/14","NA0008948346","Skin"
"2502","UBMkid969128786","69-123-6046","2/8/17","NA0008898396","Skin"
"2503","UBMkid969128832","69-001-7053","4/5/17","NA0008898627","Skin"
"2504","UBMkid969819087","69-001-1053","2/12/18","NA0014733399","Skin"
"2505","UBMkid970104595","69-091-4014","11/30/15","NA0008343778","Mouth"
"2506","UBMkid970104747","70-1015-6033","10/19/15","NA0009404828","Mouth"
"2507","UBMkid971105235","70-1005-6032","10/31/16","NA0010622547","Mouth"
"2508","UBMkid971129055","69-109-1023","2/19/16","NA0011470391","Skin"
"2509","UBMkid972104793","69-063-6046","10/19/15","NA0009404805","Mouth"
"2510","UBMkid972128202","70-1015-6032","10/12/15","NA0011524460","Skin"
"2511","UBMkid972128228","69-089-01","4/29/15","NA0008942142","Skin"
"2512","UBMkid972128273","69-091-4014","11/30/15","NA0008899196","Skin"
"2513","UBMkid972129148","69-121-03","6/29/16","NA0008948936","Skin"
"2514","UBMkid973105139","69-026-2011","9/30/14","NA0008352987","Mouth"
"2515","UBMkid973128113","69-074-6024","4/30/15","NA0008942169","Skin"
"2516","UBMkid973129170","69-114-6034","8/22/16","NA0008949675","Skin"
"2517","UBMkid974105121","69-001-6031","3/31/15","NA0008352982","Mouth"
"2518","UBMkid974128072","69-074-2012","11/3/15","NA0008942168","Skin"
"2519","UBMkid974128774","69-047-10","5/24/17","NA0008898393","Skin"
"2520","UBMkid975104698","70-1001-2023","10/23/15","NA0009404821","Mouth"
"2521","UBMkid975105093","69-063-6022","1/26/15","NA0008352974","Mouth"
"2522","UBMkid975105456","69-068-09","12/5/16","NA0010623046","Mouth"
"2523","UBMkid975128180","69-026-2032","10/16/15","NA0008899166","Skin"
"2524","UBMkid975128195","69-074-2013","11/6/15","NA0008942140","Skin"
"2525","UBMkid976104638","69-028-6034","10/12/15","NA0009404815","Mouth"
"2526","UBMkid976105194","69-032-03","3/24/14","NA0008343204","Mouth"
"2527","UBMkid976129103","69-111-6023","2/2/16","NA0011470421","Skin"
"2528","UBMkid976129104","69-043-8024","4/11/16","NA0011470383","Skin"
"2529","UBMkid977105719","69-021-4014","7/17/14","NA0008363608","Mouth"
"2530","UBMkid978105247","69-001-7029","4/21/16","NA0010623022","Mouth"
"2531","UBMkid978127940","69-023-12","12/2/16","NA0011525148","Skin"
"2532","UBMkid978128127","70-1015-6031","10/5/15","NA0008942184","Skin"
"2533","UBMkid979105023","69-043-01","3/28/14","NA0008343207","Mouth"
"2534","UBMkid979105217","69-053-6035","12/2/16","NA0008933587","Mouth"
"2535","UBMkid979105378","69-107-6036","9/29/16","NA0008943475","Mouth"
"2536","UBMkid979128323","69-074-2011","11/2/15","NA0008899181","Skin"
"2537","UBMkid980104612","69-100-6014","10/12/15","NA0009404812","Mouth"
"2538","UBMkid980104805","69-063-1022","10/3/14","NA0009404800","Mouth"
"2539","UBMkid980105321","70-1005-6011","4/19/16","NA0008933436","Mouth"
"2540","UBMkid980107498","69-012-06","5/1/14","NA0008332882","Mouth"
"2541","UBMkid980128740","69-026-12","5/11/17","NA0008898618","Skin"
"2542","UBMkid981104813","69-037-1035","3/16/15","NA0009404818","Mouth"
"2543","UBMkid981129348","69-010-QV8","10/5/16","NA0008949690","Skin"
"2544","UBMkid981819678","69-057-12","7/2/18","NA0014733384","Skin"
"2545","UBMkid982105304","69-085-05","5/17/16","NA0008933567","Mouth"
